,product_id,onsale_web,price,stock_quantity,stock_status
192,4288,1,26.7,8,instock
193,4289,0,22.8,0,outofstock
194,4297,1,19.0,26,instock
195,4298,1,23.2,36,instock
196,4299,1,39.1,18,instock
197,4300,1,44.0,15,instock
198,4301,1,17.5,14,instock
199,4303,1,30.0,0,outofstock
200,4304,1,8.1,133,instock
201,4306,1,10.7,41,instock
202,4307,1,10.9,0,outofstock
203,4334,1,49.0,0,outofstock
204,4336,1,35.5,36,instock
205,4337,1,83.0,13,instock
206,4348,1,59.0,21,instock
207,4350,1,79.5,20,instock
208,4352,1,225.0,0,outofstock
209,4353,1,79.5,11,instock
210,4355,1,126.5,2,instock
211,4356,1,51.6,5,instock
212,4357,1,39.0,0,outofstock
213,4358,1,77.0,0,outofstock
214,4359,1,85.6,0,outofstock
215,4364,1,49.5,6,instock
216,4391,1,49.5,7,instock
217,4392,1,49.5,13,instock
218,4393,1,57.0,2,instock
219,4394,1,59.8,0,outofstock
220,4395,1,27.5,8,instock
221,4396,1,62.0,7,instock
222,4397,1,59.0,7,instock
223,4398,1,59.0,0,outofstock
224,4399,1,59.0,6,instock
225,4400,1,44.0,0,outofstock
226,4401,1,62.5,1,instock
227,4402,1,176.0,8,instock
228,4404,1,108.5,2,instock
229,4405,1,68.1,6,instock
230,4406,1,157.0,3,instock
231,4407,1,104.0,6,instock
232,4558,1,28.1,96,instock
233,4564,1,21.7,60,instock
234,4565,0,30.5,3,instock
235,4566,1,28.5,3,instock
236,4568,0,21.5,0,outofstock
237,4573,1,67.2,9,instock
238,4577,0,49.0,1,instock
239,4578,0,40.0,3,instock
240,4582,1,109.6,7,instock
241,4584,0,32.3,0,outofstock
242,4594,1,144.0,0,outofstock
243,4596,1,43.9,0,outofstock
244,4597,1,61.6,0,outofstock
245,4598,1,41.8,61,instock
246,4599,0,36.9,0,outofstock
247,4600,1,26.5,0,outofstock
248,4601,1,16.1,31,instock
249,4602,1,31.5,26,instock
250,4603,1,31.5,39,instock
251,4604,1,49.0,9,instock
252,4605,1,32.2,1,instock
253,4606,1,50.1,41,instock
254,4607,1,13.4,0,outofstock
255,4609,1,11.8,237,instock
256,4610,1,13.1,114,instock
257,4611,1,26.2,27,instock
258,4612,1,20.6,49,instock
259,4613,1,16.9,31,instock
260,4614,1,19.0,50,instock
261,4615,1,24.0,10,instock
262,4616,1,57.0,5,instock
263,4617,1,67.5,1,instock
264,4618,1,30.6,3,instock
265,4619,1,59.0,5,instock
266,4620,1,11.9,106,instock
267,4621,1,16.5,49,instock
268,4625,1,52.4,3,instock
269,4626,1,52.9,2,instock
270,4627,1,58.3,1,instock
271,4628,1,39.6,2,instock
272,4629,1,52.4,3,instock
273,4630,1,62.4,3,instock
274,4631,1,76.8,3,instock
275,4632,1,50.0,3,instock
276,4633,1,52.4,2,instock
277,4634,1,41.0,4,instock
278,4635,1,62.4,3,instock
279,4636,1,50.0,4,instock
280,4646,1,21.5,34,instock
281,4647,1,28.5,48,instock
282,4648,1,24.3,9,instock
283,4649,1,16.5,5,instock
284,4650,1,25.3,14,instock
285,4651,1,49.0,21,instock
286,4653,1,36.2,18,instock
287,4654,1,33.4,0,outofstock
288,4655,1,40.2,23,instock
289,4656,1,43.0,3,instock
290,4657,1,43.0,11,instock
291,4658,1,48.8,12,instock
292,4659,0,23.6,0,outofstock
293,4662,1,20.8,24,instock
294,4664,1,16.4,15,instock
295,4665,1,14.4,6,instock
296,4666,1,21.0,32,instock
297,4668,1,12.3,23,instock
298,4669,1,20.2,37,instock
299,4670,1,17.0,93,instock
300,4671,1,21.9,24,instock
301,4672,1,17.8,5,instock
302,4673,1,19.8,35,instock
303,4674,1,19.0,41,instock
304,4675,1,10.7,35,instock
305,4676,1,12.9,73,instock
306,4677,1,9.5,161,instock
307,4678,1,29.8,30,instock
308,4679,1,13.2,37,instock
309,4680,1,6.3,34,instock
310,4681,1,7.1,178,instock
311,4682,1,9.1,26,instock
312,4683,1,9.1,42,instock
313,4684,1,18.1,25,instock
314,4686,1,14.0,6,instock
315,4687,1,30.1,36,instock
316,4689,1,12.8,6,instock
317,4690,1,12.8,15,instock
318,4692,0,12.0,48,instock
319,4693,0,18.5,0,outofstock
320,4697,0,34.5,1,instock
321,4698,0,20.5,0,outofstock
322,4702,0,23.8,0,outofstock
323,4703,1,19.8,2,instock
324,4704,1,18.2,0,outofstock
325,4705,1,31.6,12,instock
326,4706,1,16.8,23,instock
327,4707,1,22.8,13,instock
328,4708,1,32.6,15,instock
329,4709,1,44.0,0,outofstock
330,4711,1,55.4,9,instock
331,4712,1,15.8,0,outofstock
332,4713,1,18.4,6,instock
333,4714,1,13.3,25,instock
334,4715,1,11.1,30,instock
335,4716,1,18.6,7,instock
336,4717,1,23.4,0,outofstock
337,4718,1,18.2,19,instock
338,4719,1,12.5,29,instock
339,4720,1,15.9,10,instock
340,4721,0,20.2,0,outofstock
341,4722,1,13.7,0,outofstock
342,4723,1,29.0,5,instock
343,4725,1,23.4,1,instock
344,4726,1,12.7,0,outofstock
345,4727,1,26.0,33,instock
346,4728,1,29.5,20,instock
347,4729,1,8.6,151,instock
348,4730,1,14.3,6,instock
349,4731,1,22.0,7,instock
350,4733,1,16.8,13,instock
351,4734,1,15.3,36,instock
352,4738,0,13.5,3,instock
353,4739,1,7.4,50,instock
354,4740,1,9.7,8,instock
355,4741,0,12.4,0,outofstock
356,4744,0,13.8,5,instock
357,4748,1,14.5,14,instock
358,4749,1,11.9,140,instock
359,4750,1,16.4,45,instock
360,4752,1,27.9,42,instock
361,4753,1,12.0,76,instock
362,4755,1,7.4,97,instock
363,4757,1,26.5,1,instock
364,4758,1,24.3,22,instock
365,4759,1,16.9,49,instock
366,4776,1,6.8,11,instock
367,4778,1,13.9,0,outofstock
368,4779,1,7.8,163,instock
369,4780,1,13.7,12,instock
370,4782,1,9.8,22,instock
371,4783,1,29.5,5,instock
372,4784,1,28.5,10,instock
373,4785,1,10.1,18,instock
374,4786,1,12.1,37,instock
375,4788,1,12.3,21,instock
376,4789,1,11.1,62,instock
377,4790,1,11.1,43,instock
378,4791,1,13.6,24,instock
379,4792,1,21.0,13,instock
380,4793,1,18.7,17,instock
381,4794,1,41.6,0,outofstock
382,4795,1,12.0,34,instock
383,4797,1,78.0,0,outofstock
384,4798,0,12.7,0,outofstock
385,4799,1,14.9,56,instock
386,4858,1,6.5,257,instock
387,4860,1,8.7,85,instock
388,4861,1,8.5,284,instock
389,4862,1,9.9,168,instock
390,4863,1,8.2,0,outofstock
391,4864,0,8.3,0,outofstock
392,4865,1,9.8,1,instock
393,4867,1,9.9,0,outofstock
394,4869,0,17.2,0,outofstock
395,4870,1,9.3,0,outofstock
396,4874,0,14.6,0,outofstock
397,4876,1,22.8,4,instock
398,4885,1,18.7,6,instock
399,4886,1,28.4,48,instock
400,4888,1,27.9,53,instock
401,4889,1,25.3,0,outofstock
402,4890,1,17.0,29,instock
403,4891,1,27.9,0,outofstock
404,4892,1,20.1,34,instock
405,4893,1,27.9,0,outofstock
406,4899,1,21.2,35,instock
407,4900,1,20.8,42,instock
408,4901,1,41.0,36,instock
409,4902,1,46.0,11,instock
410,4903,1,102.3,20,instock
411,4904,1,137.0,13,instock
412,4907,1,22.9,6,instock
413,4908,1,53.2,5,instock
414,4909,1,25.9,27,instock
415,4910,1,17.3,0,outofstock
416,4911,0,23.0,0,outofstock
417,4912,1,25.9,10,instock
418,4913,1,28.0,16,instock
419,4914,1,25.9,6,instock
420,4915,1,25.9,14,instock
421,4918,1,37.2,0,outofstock
422,4919,1,24.4,0,outofstock
423,4920,1,24.4,1,instock
424,4921,0,13.8,0,outofstock
425,4922,0,21.5,0,outofstock
426,4923,1,7.0,143,instock
427,4924,1,12.8,0,outofstock
428,4925,1,23.2,0,outofstock
429,4926,1,7.9,92,instock
430,4927,1,6.5,0,outofstock
431,4928,1,7.9,1,instock
432,4929,1,16.7,4,instock
433,4930,1,17.5,9,instock
434,4931,1,27.8,11,instock
435,4932,1,25.7,0,outofstock
436,4933,1,18.4,30,instock
437,4934,1,22.2,57,instock
438,4936,1,11.1,88,instock
439,4937,1,9.9,28,instock
440,4938,1,12.5,0,outofstock
441,4939,1,12.9,0,outofstock
442,4940,1,20.5,44,instock
443,4954,1,25.0,0,instock
444,4962,1,11.3,95,instock
445,4963,1,7.0,289,instock
446,4964,1,12.1,72,instock
447,4965,1,7.1,203,instock
448,4970,1,49.5,0,outofstock
449,4973,0,10.0,0,outofstock
450,4974,1,23.0,2,instock
451,4975,1,23.7,15,instock
452,4976,1,16.45,26,instock
453,4977,1,16.3,47,instock
454,4978,1,18.5,0,outofstock
455,4980,1,26.5,88,instock
456,4994,1,78.0,7,instock
457,4995,1,78.0,0,outofstock
458,4996,1,78.0,33,instock
459,5000,1,27.3,0,outofstock
460,5001,1,217.5,20,instock
461,5002,1,64.9,1,instock
462,5003,1,48.7,9,instock
463,5004,1,59.4,1,instock
464,5006,1,48.7,0,outofstock
465,5007,1,105.0,17,instock
466,5008,1,105.0,10,instock
467,5010,1,55.6,17,instock
468,5016,1,9.3,1,instock
469,5017,0,8.0,0,outofstock
470,5018,0,15.4,0,outofstock
471,5019,1,19.8,0,outofstock
472,5020,0,10.0,0,outofstock
473,5021,0,17.1,0,outofstock
474,5024,1,45.0,0,outofstock
475,5025,1,112.0,0,outofstock
476,5026,1,86.8,2,instock
477,5027,1,62.1,0,outofstock
478,5047,1,22.5,129,instock
479,5056,1,7.5,9,instock
480,5061,1,52.6,24,instock
481,5062,1,45.0,4,instock
482,5063,1,67.0,0,outofstock
483,5067,1,59.9,0,outofstock
484,5068,1,59.9,1,instock
485,5069,1,65.0,2,instock
486,5070,1,84.7,0,outofstock
487,5075,1,43.3,0,outofstock
488,5375,1,15.2,0,outofstock
489,5377,1,19.0,7,instock
490,5379,1,11.1,26,instock
491,5380,1,18.0,24,instock
492,5382,1,22.8,11,instock
493,5383,1,19.5,9,instock
494,5384,1,28.8,0,outofstock
495,5389,1,16.1,5,instock
496,5391,1,24.2,17,instock
497,5393,1,35.3,9,instock
498,5394,1,10.7,4,instock
499,5395,1,12.7,6,instock
